x,y
454.5,756.5
485.5,792.5
488.5,811.5
505.5,278.5
517.5,877.5
552.5,824.5
573.5,754.5
575.5,310.5
584.5,764.5
623.5,364.5
640.5,810.5
644.5,427.5
655.5,699.5
683.5,395.5
693.5,742.5
701.5,608.5
743.5,479.5
182.5,686.5
368.5,918.5
464.5,637.5
554.5,304.5
585.5,449.5
723.5,236.5
759.5,448.5
148.5,631.5
77.5,630.5
96.5,684.5
103.5,675.5
111.5,603.5
117.5,613.5
141.5,692.5
144.5,746.5
171.5,721.5
191.5,763.5
196.5,612.5
251.5,771.5
253.5,570.5
263.5,572.5
283.5,590.5
291.5,709.5
313.5,574.5
353.5,858.5
358.5,897.5
360.5,119.5
360.5,763.5
361.5,889.5
366.5,765.5
376.5,867.5
381.5,866.5
386.5,914.5
387.5,141.5
394.5,845.5
399.5,590.5
400.5,694.5
400.5,908.5
400.5,949.5
413.5,829.5
417.5,873.5
421.5,131.5
428.5,361.5
429.5,597.5
430.5,847.5
432.5,117.5
433.5,241.5
433.5,954.5
438.5,674.5
441.5,218.5
443.5,679.5
447.5,590.5
447.5,946.5
448.5,931.5
451.5,331.5
453.5,601.5
463.5,605.5
467.5,716.5
472.5,527.5
473.5,769.5
481.5,333.5
486.5,342.5
486.5,712.5
498.5,607.5
501.5,832.5
514.5,684.5
521.5,652.5
522.5,365.5
524.5,408.5
526.5,534.5
529.5,833.5
529.5,838.5
533.5,662.5
534.5,818.5
540.5,130.5
549.5,383.5
558.5,729.5
561.5,291.5
574.5,712.5
576.5,586.5
579.5,680.5
586.5,706.5
593.5,431.5
593.5,782.5
594.5,479.5
600.5,755.5
615.5,234.5
630.5,810.5
631.5,268.5
636.5,497.5
636.5,501.5
637.5,443.5
639.5,492.5
642.5,550.5
644.5,380.5
644.5,717.5
648.5,732.5
660.5,628.5
669.5,530.5
671.5,595.5
672.5,565.5
687.5,394.5
687.5,745.5
689.5,445.5
702.5,613.5
715.5,662.5
724.5,268.5
724.5,285.5
728.5,228.5
732.5,264.5
737.5,406.5
820.5,586.5
535.5,773.5
110.5,643.5
161.5,709.5
169.5,673.5
196.5,624.5
209.5,676.5
249.5,763.5
256.5,594.5
351.5,112.5
354.5,910.5
357.5,798.5
357.5,839.5
360.5,528.5
369.5,635.5
384.5,855.5
389.5,890.5
402.5,860.5
403.5,855.5
418.5,172.5
421.5,890.5
423.5,184.5
424.5,643.5
444.5,967.5
455.5,657.5
459.5,666.5
485.5,689.5
489.5,742.5
494.5,291.5
496.5,824.5
505.5,778.5
509.5,623.5
522.5,826.5
523.5,752.5
538.5,418.5
544.5,560.5
545.5,737.5
553.5,741.5
576.5,361.5
577.5,707.5
586.5,694.5
591.5,775.5
604.5,775.5
609.5,330.5
611.5,460.5
617.5,346.5
620.5,800.5
645.5,465.5
662.5,778.5
672.5,548.5
682.5,615.5
757.5,300.5
767.5,608.5
792.5,599.5
823.5,276.5
249.5,759.5
377.5,624.5
489.5,721.5
540.5,345.5
750.5,235.5
790.5,299.5
486.5,367.5
694.5,344.5
707.5,314.5
594.5,627.5
693.5,371.5
530.5,449.5
624.5,309.5
129.5,627.5
131.5,673.5
135.5,693.5
167.5,702.5
167.5,759.5
168.5,632.5
173.5,711.5
181.5,712.5
197.5,768.5
208.5,683.5
304.5,663.5
332.5,765.5
339.5,688.5
339.5,728.5
348.5,721.5
351.5,681.5
354.5,685.5
355.5,644.5
358.5,768.5
374.5,325.5
379.5,70.5
387.5,80.5
394.5,972.5
400.5,76.5
406.5,516.5
406.5,697.5
416.5,964.5
417.5,135.5
421.5,624.5
422.5,924.5
423.5,791.5
434.5,173.5
443.5,713.5
444.5,781.5
453.5,304.5
456.5,494.5
468.5,181.5
484.5,220.5
488.5,677.5
490.5,699.5
492.5,345.5
496.5,809.5
503.5,591.5
506.5,822.5
523.5,757.5
525.5,817.5
528.5,365.5
540.5,761.5
553.5,397.5
565.5,428.5
569.5,207.5
571.5,219.5
580.5,211.5
586.5,326.5
590.5,580.5
590.5,751.5
599.5,437.5
609.5,761.5
622.5,815.5
633.5,725.5
638.5,450.5
639.5,422.5
647.5,583.5
647.5,695.5
648.5,634.5
651.5,726.5
653.5,621.5
656.5,477.5
656.5,505.5
658.5,610.5
662.5,703.5
679.5,534.5
684.5,579.5
696.5,616.5
697.5,586.5
725.5,615.5
725.5,639.5
730.5,293.5
746.5,559.5
747.5,587.5
757.5,538.5
761.5,295.5
238.5,663.5
96.5,691.5
173.5,749.5
175.5,728.5
308.5,441.5
348.5,842.5
359.5,859.5
368.5,887.5
370.5,108.5
372.5,886.5
373.5,83.5
373.5,839.5
375.5,602.5
378.5,811.5
378.5,889.5
383.5,729.5
395.5,943.5
403.5,800.5
412.5,910.5
416.5,786.5
424.5,881.5
425.5,852.5
431.5,736.5
434.5,843.5
450.5,519.5
460.5,773.5
461.5,677.5
466.5,742.5
472.5,678.5
481.5,706.5
499.5,214.5
500.5,218.5
500.5,858.5
513.5,786.5
517.5,777.5
518.5,790.5
527.5,753.5
529.5,640.5
530.5,492.5
535.5,856.5
541.5,804.5
548.5,834.5
572.5,364.5
581.5,580.5
583.5,591.5
591.5,587.5
597.5,700.5
598.5,397.5
598.5,791.5
606.5,677.5
610.5,311.5
611.5,474.5
621.5,715.5
623.5,782.5
625.5,360.5
625.5,563.5
636.5,719.5
642.5,335.5
643.5,577.5
648.5,346.5
651.5,420.5
654.5,550.5
655.5,632.5
657.5,563.5
664.5,552.5
677.5,515.5
680.5,464.5
682.5,377.5
682.5,517.5
715.5,622.5
732.5,606.5
739.5,596.5
741.5,469.5
750.5,264.5
752.5,435.5
758.5,259.5
785.5,273.5
786.5,297.5
796.5,247.5
245.5,683.5
308.5,579.5
322.5,679.5
379.5,295.5
426.5,673.5
755.5,278.5
383.5,965.5
487.5,287.5
621.5,628.5
632.5,466.5
742.5,287.5
804.5,274.5
223.5,625.5
231.5,691.5
390.5,594.5
511.5,371.5
681.5,282.5
682.5,738.5
141.5,629.5
305.5,73.5
119.5,749.5
134.5,787.5
152.5,642.5
165.5,611.5
240.5,657.5
318.5,586.5
347.5,578.5
367.5,876.5
368.5,325.5
371.5,300.5
371.5,738.5
379.5,123.5
393.5,180.5
393.5,858.5
405.5,617.5
408.5,591.5
423.5,938.5
434.5,722.5
436.5,185.5
441.5,223.5
468.5,269.5
472.5,184.5
484.5,478.5
487.5,695.5
502.5,840.5
506.5,844.5
521.5,797.5
524.5,441.5
525.5,167.5
529.5,618.5
532.5,404.5
532.5,812.5
532.5,822.5
534.5,828.5
539.5,776.5
542.5,773.5
543.5,507.5
548.5,801.5
560.5,388.5
579.5,430.5
597.5,707.5
602.5,403.5
609.5,780.5
619.5,227.5
630.5,170.5
634.5,365.5
651.5,474.5
661.5,204.5
663.5,458.5
677.5,627.5
679.5,355.5
697.5,647.5
701.5,641.5
80.5,646.5
97.5,679.5
136.5,642.5
136.5,701.5
140.5,652.5
150.5,740.5
156.5,766.5
184.5,600.5
195.5,764.5
278.5,798.5
317.5,463.5
328.5,753.5
374.5,734.5
380.5,56.5
391.5,175.5
391.5,916.5
397.5,111.5
402.5,832.5
405.5,117.5
406.5,851.5
409.5,792.5
409.5,925.5
410.5,867.5
413.5,917.5
418.5,127.5
420.5,653.5
429.5,721.5
434.5,896.5
436.5,774.5
444.5,766.5
456.5,712.5
457.5,770.5
465.5,735.5
470.5,434.5
471.5,293.5
489.5,749.5
501.5,851.5
506.5,352.5
516.5,662.5
517.5,836.5
519.5,543.5
523.5,866.5
528.5,487.5
543.5,757.5
545.5,790.5
548.5,314.5
555.5,417.5
